SurgicalService,Name,axa_name,axa_severity,protocolised_adm
General Surgery,BIOPSY OF TEMPORAL ARTERY,Biopsy of artery (including temporal) (as sole procedure),Minor,No
Urology,BIOPSY OF TESTIS,Biopsy of testis,Minor,No
,BIOPSY OF TESTIS,Biopsy of testis,Intermediate,No
Head and Neck,BIOPSY OF TONGUE,Biopsy of lesion of mouth,Minor,No
Gynaecology,BIOPSY OF VULVA,Excision of lesion of vulva,Minor,No
Urology,BLADDER CLOSURE,Partial cystectomy (including cystoscopy),Major,No
Urology,BLADDER NECK OPERATION FOR FEMALE STRESS INCONTINENCE,Implantation of artificial urinary sphincter at bladder neck and/or removal (including cystoscopy),Major,No
Urology,BLADDER SURVEILLANCE - CHECK CYSTOSCOPY,Diagnostic endoscopic examination of bladder (flexible cystoscopy) including any biopsy,Minor,No
Paediatric ENT,BLIND SAC CLOSURE OF EXTERNAL AUDITORY CANAL,Soft tissue meatoplasty of EAC,Intermediate,No
General Surgery,BLOCK DISSECTION OF CERVICAL LYMPH NODES,Radical dissection of cervical lymph nodes,Complex,No
Head and Neck,BLOCK DISSECTION OF CERVICAL LYMPH NODES,Radical dissection of cervical lymph nodes,Complex,Yes
Gynaecology,BLOCK DISSECTION OF INGUINAL LYMPH NODES,Block dissection of pelvic lymph nodes (as sole procedure),Major,No
Urology,BLOCK DISSECTION OF INGUINAL LYMPH NODES,Block dissection of pelvic lymph nodes (as sole procedure),Major,No
Gynaecology,BLOCK DISSECTION OF PELVIC LYMPH NODES,Block dissection of pelvic lymph nodes (as sole procedure),Major,No
,BONE FUSION,Excision reconstruction of large joint,Major,No
Orthopaedics,BONE FUSION,Excision reconstruction of large joint,Major,No
Orthopaedics,BONE GRAFT OF FEMUR,Secondary open reduction of fractured long bone and intra-medullary fixation or internal fixation for non-union/ mal-union – including intra-articular (including bone graft),Xmajor,No
Oral Surgery,BONE GRAFT TO MANDIBLE,Reconstruction of jaw (non-vascularised reconstruction),Xmajor,No
Maxillo-Facial Surgery,BONE GRAFT TO MAXILLA,Reconstruction of jaw (non-vascularised reconstruction),Xmajor,No
Bone Marrow Harvest,"BONE MARROW BIOPSY, NEEDLE OR TROCAR",-,Minor,No
Bone Marrow Harvest,BONE MARROW INCISION,-,Minor,No
,BONE MARROW TREPHINE,-,Minor,No
General Surgery,BOWEL STOMA CLOSURE,Closure of colostomy,Major,No
Colorectal Surgery,BOWEL STOMA CLOSURE,Closure of colostomy,Major,No
Breast Surgery,BREAST CLOSURE,Excision of breast lump/fibroadenoma,Intermediate,No
Breast Surgery,BREAST INCISION,Excision of breast lump/fibroadenoma,Intermediate,No
Breast Surgery,BREAST PROSTHESIS OPERATION,Reconstruction of breast using fixed prosthesis (including delayed reconstruction),Major,No
Breast Surgery,BREAST RECONSTRUCTION WITH SUBMUSCULAR IMPLANT,Reconstruction of breast using fixed prosthesis (including delayed reconstruction),Major,No
Orthopaedics,BRISTOW-LATARJET PROCEDURE,Primary stabilisation of multi-directional instability of shoulder joint +/- tendon repair,Major,No
Thoracic Surgery,BRONCHIAL SUCTION VIA FIBREOPTIC BRONCHOSCOPE,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Thoracic Surgery,BRONCHOSCOPIC INSERTION OF ENDOBRONCHIAL VALVE,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Bronchoscopy/Thoracoscopy,BRONCHOSCOPIC PLACEMENT OF AIRWAY STENT,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Thoracic Surgery,BRONCHOSCOPY,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
,BRONCHOSCOPY,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Thoracic Medicine,BRONCHOSCOPY AND BRONCHOALVEOLAR LAVAGE,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Bronchoscopy/Thoracoscopy,BRONCHOSCOPY AND BRONCHOALVEOLAR LAVAGE,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
,BRONCHOSCOPY AND BRONCHOALVEOLAR LAVAGE,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Thoracic Surgery,BRONCHOSCOPY AND BRONCHOALVEOLAR LAVAGE,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,Yes
ENT,BROWLIFT,-,Unknown,No
Urology,BULBAR URETHROPLASTY,"Simple urethroplasty, eg primary repair, segment, anterior urethra (including cystoscopy)",Major,No
Urology,BULBAR URETHROPLASTY WITH BUCCAL MUCOSAL GRAFT DORSAL PATCH AUGMENTATION,"Complex Urethroplasty, Eg Revision Surgery of the Anterior Urethra, Segment, Posterior Urethra, +/- Grafting (Including Cystoscopy)",Major,No
Urology,BULBAR URETHROPLASTY WITH NON-TRANSECTING ANASTOMOSIS - AUGMENTED,"Simple urethroplasty, eg primary repair, segment, anterior urethra (including cystoscopy)",Major,No
Urology,BULBAR URETHROPLASTY WITH TRANSECTING ANASTOMOSIS,"Simple urethroplasty, eg primary repair, segment, anterior urethra (including cystoscopy)",Major,No
Urology,BULBO-PROSTATIC ANASTOMOTIC URETHROPLASTY,"Simple urethroplasty, eg primary repair, segment, anterior urethra (including cystoscopy)",Major,No
Urology,BULBO-PROSTATIC ANASTOMOTIC URETHROPLASTY USING ABDOMINOPERINEAL APPROACH,"Complex Urethroplasty, Eg Revision Surgery of the Anterior Urethra, Segment, Posterior Urethra, +/- Grafting (Including Cystoscopy)",Major,No
Urology,BULBO-PROSTATIC ANASTOMOTIC URETHROPLASTY USING PERINEAL APPROACH WITH CRURAL SEPARATION,"Complex Urethroplasty, Eg Revision Surgery of the Anterior Urethra, Segment, Posterior Urethra, +/- Grafting (Including Cystoscopy)",Major,No
Orthopaedics,BUNIONECTOMY WITH OSTEOTOMY OF FIRST METATARSAL,Excision of medial eminence 1st or 5th MT head with soft tissue repair (bunionectomy),Intermediate,No
Orthopaedics,BURSECTOMY,Excision of bursa,Intermediate,No
Upper Gastro-intestinal Surgery,BYPASS GASTROENTEROSTOMY,Gastro–jejunostomy,Major,No
Upper Gastro-intestinal Surgery,BYPASS GASTROJEJUNOSTOMY,Gastro–jejunostomy,Major,No
Head and Neck,BYPASS OF OBSTRUCTION OF LYMPHATIC DUCT,Repair of peri-lymph fistula,Major,No
ENT,CANALOPLASTY OF EXTERNAL AUDITORY MEATUS,Reconstruction of external auditory canal,Xmajor,No
Upper Gastro-intestinal Surgery,CARDIOPLASTY OF STOMACH AND OESOPHAGUS,Open operations on stomach not elsewhere classified,Major,No
Thoracic Surgery,CARDIOVERSION,External cardioversion,Minor,No
ENT,CARTILAGE GRAFT TO NASAL SEPTUM,Septoplasty of nose (including attention to turbinates),Intermediate,No
Orthopaedics,CEMENTED UNICOMPARTMENTAL KNEE REPLACEMENT,Unicompartmental knee replacement,Xmajor,No
,CEMENTED UNICOMPARTMENTAL KNEE REPLACEMENT,Unicompartmental knee replacement,Xmajor,No
,CENTRAL LINE INSERTION,Insertion of central venous catheter - non-tunnelled (X-ray guided),Intermediate,No
Thoracic Surgery,CERVICAL MEDIASTINOSCOPY,Diagnostic mediastinoscopy,Intermediate,Yes
,CERVICAL POLYPECTOMY,"Hysteroscopy (including biopsy, dilatation, curettage and resection of polyp(s) +/- Mirena coil insertion)",Intermediate,No
Orthopaedics,CHANGE IN BONE LENGTH OF CLAVICLE,"Excision distal clavicle, as sole procedure",Major,No
Urology,CHANGE OF CYSTOSTOMY TUBE,-,Minor,No
,CHANGE OF CYSTOSTOMY TUBE,-,Minor,No
Urology,CHECK CYSTOSCOPY AND BLADDER BIOPSY,Diagnostic endoscopic examination of bladder (flexible cystoscopy) including any biopsy,Minor,No
Urology,CHECK CYSTOSCOPY AND CAUTERISATION OF BLADDER,Diagnostic endoscopic examination of bladder (flexible cystoscopy) including any biopsy,Minor,No
Orthopaedics,CHEILECTOMY OF METATARSAL,"Excision arthroplasty of first metatarso-phalangeal joint, (e.g. Keller, Bonney-Kessel procedures) including cheilectomy",Intermediate,No
Thoracic Surgery,CHEST WALL RECONSTRUCTION,Excision of chest wall tumour - with chest wall reconstruction,Xmajor,Yes
General Surgery,CHOLECYSTECTOMY,Cholecystectomy (including mini-cholecystectomy),Major,No
Upper Gastro-intestinal Surgery,CHOLECYSTECTOMY,Cholecystectomy (including mini-cholecystectomy),Major,No
Orthopaedics,CHOPART TYPE PROCEDURE,Amputation of leg/foot (including Symes Lisfranc and Chopart),Major,No
Urology,CIRCUMCISION,Circumcision,Intermediate,No
,CIRCUMCISION,Circumcision,Intermediate,No
Andrology,CIRCUMCISION,Circumcision,Intermediate,No
,CLAGETT CLOSURE OF FENESTRATION OF CHEST,Resection of rib and open drainage of pleural cavity,Major,No
Urology,CLAM CYSTOPLASTY,Enlargement of bladder (including cystoscopy),Complex,No
Paediatric Urology,CLAM CYSTOPLASTY,Enterocystoplasty (including cystoscopy),Complex,No
Urology,CLAM ILEOCYSTOPLASTY,Enterocystoplasty (including cystoscopy),Complex,No
Gynaecology,CLITOROPLASTY,Operations on female perineum,Minor,No
,CLOSED REDUCTION OF DISLOCATED TOTAL PROSTHETIC REPLACEMENT OF HIP JOINT,Closed reduction of dislocated hip prosthesis,Intermediate,No
ENT,CLOSED RHINOPLASTY,Rhinoplasty following trauma or excision of tumour (including attention to turbinates),Major,No
Colorectal Surgery,CLOSURE OF ANAL FISTULA USING PLUG,Seton placement for treatment of anal fistula,Minor,No
,CLOSURE OF ANAL FISTULA USING PLUG,Seton placement for treatment of anal fistula,Minor,No
Colorectal Surgery,CLOSURE OF COLOSTOMY,Closure of colostomy,Major,No
General Surgery,CLOSURE OF COLOSTOMY,Closure of colostomy,Major,No
Urology,CLOSURE OF CUTANEOUS VESICOSTOMY,Closure of cystostomy,Intermediate,No
General Surgery,CLOSURE OF DEFUNCTIONING COLOSTOMY,Closure of colostomy,Major,No
,CLOSURE OF GASTROSTOMY,Closure of Gastrostomy,Major,No
Upper Gastro-intestinal Surgery,CLOSURE OF GASTROSTOMY,Closure of Gastrostomy,Major,No
Urology,CLOSURE OF ILEAL FISTULA,Repair of cutaneous vesical fistula,Intermediate,No
General Surgery,CLOSURE OF ILEOSTOMY,Closure of ileostomy (as sole procedure),Intermediate,No
Colorectal Surgery,CLOSURE OF ILEOSTOMY,Closure of ileostomy (as sole procedure),Intermediate,No
Gynaecology,CLOSURE OF ILEOSTOMY,Closure of ileostomy (as sole procedure),Intermediate,No
Upper Gastro-intestinal Surgery,CLOSURE OF ILEOSTOMY,Closure of ileostomy (as sole procedure),Intermediate,No
Gynaecology Oncology,CLOSURE OF ILEOSTOMY,Closure of ileostomy (as sole procedure),Intermediate,No
,CLOSURE OF ILEOSTOMY,Closure of ileostomy (as sole procedure),Intermediate,No
General Surgery,CLOSURE OF INTESTINAL CUTANEOUS FISTULA,Occlusion of fistula under imaging control,Major,No
Colorectal Surgery,CLOSURE OF INTESTINAL CUTANEOUS FISTULA,Occlusion of fistula under imaging control,Major,No
Upper Gastro-intestinal Surgery,CLOSURE OF JEJUNOSTOMY,Closure of Gastrostomy,Major,No
Head and Neck,CLOSURE OF PALATAL FISTULA,Closure of oro-antral fistula with local flap,Intermediate,No
Gynaecology,CLOSURE OF RECTOVAGINAL FISTULA BY VAGINAL APPROACH,Repair of rectovaginal fistula,Xmajor,No
Thoracic Surgery,CLOSURE OF SKIN WOUND,Debridement and primary suture of wound without involvement of deeper tissue (skin and subcutaneous fat only) - Trunk and Limbs,Intermediate,No
,CLOSURE OF SKIN WOUND,Debridement and primary suture of wound without involvement of deeper tissue (skin and subcutaneous fat only) - Trunk and Limbs,Intermediate,No
General Surgery,CLOSURE OF STOMA OF SMALL INTESTINE,Closure of ileostomy (as sole procedure),Intermediate,No
,CLOSURE OF SUPERFICIAL WOUND DEHISCENCE,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
Head and Neck,CLOSURE OF TRACHEOCUTANEOUS FISTULA,Partial excision of trachea with reconstruction,Complex,No
Urology,CLOSURE OF URETERAL FISTULA,Closure of fistula of urethra (including cystoscopy),Intermediate,No
Urology,CLOSURE OF URETEROVESICAL FISTULA,Repair of cutaneous vesical fistula,Intermediate,No
Urology,CLOSURE OF URETHRAL FISTULA IN MALE,Closure of fistula of urethra (including cystoscopy),Intermediate,No
Urology,CLOSURE OF URETHROVAGINAL FISTULA,Repair of urethrovaginal fistula (including cystoscopy),Major,No
Paediatric ENT,COCHLEAR DEVICE IMPLANTATION WITH MASTOIDECTOMY,Insertion of cochlear implant - unilateral,Complex,No
ENT,COCHLEAR DEVICE IMPLANTATION WITH MASTOIDECTOMY,Insertion of cochlear implant - unilateral,Complex,No
,COCHLEAR DEVICE IMPLANTATION WITH MASTOIDECTOMY,Insertion of cochlear implant - unilateral,Complex,No
Gynaecology,COLD KNIFE CONE BIOPSY OF CERVIX,"Cone biopsy of cervix uteri and/or (+/- laser, colposcopy or polypectomy)",Intermediate,No
Gynaecology,COLECTOMY,Excision of lesion of colon (transabdominal),Major,No
Urology,COLOCYSTOPLASTY,Enlargement of bladder (including cystoscopy),Complex,No
Gynaecology,COLPORRHAPHY FOR REPAIR OF CYSTOCELE,Anterior +/- posterior colporrhaphy (including primary repair of enterocele) (including cystoscopy),Major,No
Gynaecology,COLPOSUSPENSION,Revision retropubic suspension of neck of bladder (including colposuspension and cystoscopy),Major,No
ENT,COMBINED APPROACH TYMPANOPLASTY,Combined approach tympanoplasty - intact canal wall tympanoplasty,Major,No
Paediatric ENT,COMBINED APPROACH TYMPANOPLASTY,Combined approach tympanoplasty - intact canal wall tympanoplasty,Major,No
,COMBINED APPROACH TYMPANOPLASTY,Combined approach tympanoplasty - intact canal wall tympanoplasty,Major,No
Orthopaedics,COMPARTMENT SYNDROME DECOMPRESSION OF LOWER LIMB,Fasciotomy of limb,Major,No
Urology,COMPLETE AMPUTATION OF PENIS,Total amputation of penis,Major,No
Breast Surgery,COMPLETE AXILLARY LYMPHADENECTOMY,Sentinel node mapping and sampling with blue dye and radioactive probe for breast cancer,Intermediate,No
Head and Neck,"COMPLETE LARYNGECTOMY WITH RADICAL NECK DISSECTION, SYNCHRONOUS THYROIDECTOMY AND SYNCHRONOUS TRACHEOSTOMY",Total thyroidectomy including block dissection of lymph nodes,Major,Yes
General Surgery,COMPLETE PARATHYROIDECTOMY,Parathyroidectomy,Xmajor,No
Orthopaedics,COMPLETE REPAIR OF ROTATOR CUFF,Arthroscopic rotator cuff repair greater than 2cm,Xmajor,No
ENT,COMPLETE SUBMUCOUS RESECTION OF TURBINATE,"Reduction turbinates of nose (trim, radical excision)",Intermediate,No
General Surgery,COMPLETE SUBSTERNAL THYROIDECTOMY,Total thyroidectomy including block dissection of lymph nodes,Major,No
Urology,"COMPLETE TRANSURETHRAL RESECTION OF PROSTATE, INCLUDING CONTROL OF POSTOPERATIVE BLEEDING",Endoscopic resection of prostate (TUR) (including cystoscopy),Major,No
,"COMPLETE TRANSURETHRAL RESECTION OF PROSTATE, INCLUDING CONTROL OF POSTOPERATIVE BLEEDING",Endoscopic resection of prostate (TUR) (including cystoscopy),Major,No
Thoracic Surgery,COMPLETION LOBECTOMY,Pulmonary lobectomy including segmental resection,Complex,Yes
Thoracic Surgery,COMPLETION PNEUMONECTOMY,Pneumonectomy,Complex,Yes
General Surgery,COMPLETION THYROIDECTOMY,Total thyroidectomy including block dissection of lymph nodes,Major,No
Head and Neck,COMPLETION THYROIDECTOMY,Total thyroidectomy including block dissection of lymph nodes,Major,No
Orthopaedics,COMPLEX RECONSTRUCTION OF FOREFOOT,"Multiple procedures on forefoot, distal to and including the tarsometatarsal joints, which involves at least two distinct procedures not intrinsic to each other",Xmajor,No
Urology,CONSTRUCTION OF CONTINENT ILEAL CONDUIT,Construction of ileal conduit including ureteric implantation,Xmajor,No
General Surgery,CONSTRUCTION OF DIVERTING COLOSTOMY,Open formation of colostomy,Major,No
General Surgery,CONSTRUCTION OF END COLOSTOMY,Open formation of colostomy,Major,No
Colorectal Surgery,CONSTRUCTION OF END COLOSTOMY,Open formation of colostomy,Major,No
Urology,CONSTRUCTION OF ILEAL CONDUIT DIVERSION,Construction of ileal conduit including ureteric implantation,Xmajor,No
Urology,CONSTRUCTION OF PENIS,Reconstruction of penis,Major,No
,CONSTRUCTION OF PENIS,Reconstruction of penis,Major,No
General Surgery,CONSTRUCTION OF SIGMOID LOOP COLOSTOMY,Laparoscopic colostomy and stoma formation (including revision),Major,No
Orthopaedics,CONVERSION FROM CEMENTED HEMIARTHROPLASTY OF HIP,Primary total hip replacement with or without cement,Xmajor,No
Orthopaedics,CONVERSION FROM CEMENTED UNICOMPARTMENTAL KNEE REPLACEMENT,Unicompartmental knee replacement,Xmajor,No
Orthopaedics,CONVERSION FROM UNCEMENTED TOTAL HIP REPLACEMENT,Primary total hip replacement with or without cement,Xmajor,No
Orthopaedics,CONVERSION TO CEMENTED TOTAL KNEE REPLACEMENT,"Total prosthetic replacement of knee joint, with or without cement, +/– patella",Xmajor,No
Orthopaedics,CONVERSION TO TOTAL PROSTHETIC REPLACEMENT OF ELBOW JOINT,Total prosthetic replacement of elbow,Xmajor,No
Orthopaedics,CONVERSION TO UNCEMENTED TOTAL HIP REPLACEMENT,Primary total hip replacement with or without cement,Xmajor,No
Thoracic Surgery,CORRECTION OF PECTUS DEFORMITY,Open surgical correction of pectus deformity of chest wall (or other congenital defect thereof),Complex,Yes
Head and Neck,CORRECTION OF TELECANTHUS BY TRANSNASAL SUTURE,Closure of perforation of septum of nose,Intermediate,No
ENT,CORTICAL MASTOIDECTOMY,Simple mastoidectomy,Major,No
Colorectal Surgery,CREATION OF DEFUNCTIONING COLOSTOMY,Open formation of colostomy,Major,No
General Surgery,CREATION OF DEFUNCTIONING COLOSTOMY,Open formation of colostomy,Major,No
General Surgery,CREATION OF DEFUNCTIONING ILEOSTOMY,Open formation of ileostomy,Major,No
Colorectal Surgery,CREATION OF DEFUNCTIONING ILEOSTOMY,Open formation of ileostomy,Major,No
General Surgery,CREATION OF ILEAL POUCH,Ileoanal anastomosis and creation of pouch,Complex,No
General Surgery,CREATION OF ILEO-ANAL POUCH,Ileoanal anastomosis and creation of pouch,Complex,No
Colorectal Surgery,CREATION OF ILEO-ANAL POUCH,Ileoanal anastomosis and creation of pouch,Complex,No
Colorectal Surgery,CREATION OF ILEOSTOMY,Open formation of ileostomy,Major,No
General Surgery,CREATION OF ILEOSTOMY,Open formation of ileostomy,Major,No
Upper Gastro-intestinal Surgery,CREATION OF JEJUNOSTOMY,Open formation of jejunostomy,Major,No
General Surgery,CREATION OF LOOP ILEOSTOMY,Open formation of ileostomy,Major,No
Colorectal Surgery,CREATION OF LOOP ILEOSTOMY,Open formation of ileostomy,Major,No
Urology,CRUSHING OF CALCULUS OF URINARY BLADDER,Endoscopic extraction of calculus of bladder (including cystoscopy),Intermediate,No
Thoracic Surgery,CRYOSURGERY,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Gynaecology,CRYOTHERAPY OF SUBCUTANEOUS TISSUE,Curettage/cryotherapy of lesions of skin including cauterisation - four or more,Intermediate,No
Urology,CRYOTHERAPY TO PROSTATE VIA PERINEAL PROBE,Prostatic cryotherapy,Complex,No
Urology,CT GUIDED PERCUTANEOUS IRREVERSIBLE ELECTROPORATION OF NEOPLASM OF PROSTATE,Transperineal template-guided biopsies of the prostate under image guidance,Intermediate,No
Gynaecology,CURETTAGE OF UTERUS,Dilatation of cervix uteri and curettage of uterus including polypectomy and diathermy of cervix,Minor,No
Urology,CYSTECTOMY - DOME OF BLADDER,Partial cystectomy (including cystoscopy),Major,No
Urology,CYSTOLITHALOPAXY,Litholapaxy (including cystoscopy),Major,No
,CYSTOLITHALOPAXY,Endoscopic extraction of calculus of bladder (including cystoscopy),Intermediate,No
Uro-Gynaecology,CYSTOLITHOLAPAXY,Endoscopic extraction of calculus of bladder (including cystoscopy),Intermediate,No
